format:
number wordrootinstance numberedinstance verbclassinstance numberedinstance
938 absolve 0 cheat 1
939 assert 0 reflexive_appearance 0
940 declare 3 reflexive_appearance 0
941 express 4 reflexive_appearance 0
942 form 2 reflexive_appearance 0
943 show 4 reflexive_appearance 0
944 copy 1 transcribe 0
945 forge 1 transcribe 0
946 record 1 transcribe 0
947 transcribe 2 transcribe 0
948 brush 1 floss 0
949 shave 0 floss 0
950 develop 11 grow 0
951 develop 3 grow 0
952 develop 1 grow 0
953 grow 1 grow 0
954 grow 3 grow 0
955 grow 4 grow 0
956 hatch 0 grow 0
957 mature 3 grow 0
958 audit 1 assessment 0
959 study 1 assessment 0
960 beam 0 nonverbal_expression 0
961 cry 0 nonverbal_expression 0
962 glower 0 nonverbal_expression 0
963 howl 1 nonverbal_expression 0
964 snivel 1 nonverbal_expression 0
965 bounce 3 slide 1
966 bounce 2 slide 1
967 float 6 slide 1
968 float 7 slide 1
969 float 8 slide 1
970 bind 3 fill 1
971 carpet 2 fill 1
972 choke 3 fill 1
973 choke 1 fill 1
974 choke 0 fill 1
975 choke 4 fill 1
976 coat 2 fill 1
977 cover 9 fill 1
978 cover 1 fill 1
979 cover 16 fill 1
980 encrust 1 fill 1
981 fill 2 fill 1
982 fill 1 fill 1
983 intersperse 0 fill 1
984 lash 1 fill 1
985 line 4 fill 1
986 mask 0 fill 1
987 plug 4 fill 1
988 ring 2 fill 1
989 shroud 2 fill 1
990 smother 3 fill 1
991 soak 3 fill 1
992 stipple 3 fill 1
993 stipple 2 fill 1
994 suffuse 0 fill 1
995 surround 0 fill 1
996 surround 0 fill 1
997 inject 0 fill 1
998 serve 9 masquerade 1
999 set 9 put 2
1000 set 2 put 2
1001 report 0 consider 3
1002 investigate 1 sight 0
1003 note 0 sight 0
1004 scan 4 sight 0
1005 study 1 sight 0
1006 view 0 sight 0
1007 watch 4 sight 0
1008 watch 5 sight 0
1009 watch 2 sight 0
1010 watch 3 sight 0
1011 witness 0 sight 0
1012 die 2 disappearance 0
1013 vanish 0 disappearance 0
1014 vanish 2 disappearance 0
1015 chatter 3 chit_chat 0
1016 climb 1 calibratable_cos 1
